"position","track_id","track_name","artists","artist_uris","album_name","album_id","album_uri","duration_ms","duration_min","playcount","content_rating","playable","preview_url","cover_url","track_uri","track_url"
"1","6DuTXPpowLA1vk8fzqaLtB","Nothing Around Us","Mathame; Lyke","spotify:artist:6QSwQEz8CDMg8Rqk8dEkxS; spotify:artist:3lc4xDLsQnWnjhntJfykpF","Nothing Around Us","3S8eBDaNXOgauG0Rtco6Kj","spotify:album:3S8eBDaNXOgauG0Rtco6Kj","345600","5,76","18693739","NONE","True","https://p.scdn.co/mp3-preview/f9387cbc68cd27d714109c91e562e3ae10d4c589","https://i.scdn.co/image/ab67616d0000b27343f8c50373afaaa7cdcdce96","spotify:track:6DuTXPpowLA1vk8fzqaLtB","https://open.spotify.com/track/6DuTXPpowLA1vk8fzqaLtB"
"2","1JodrnwZ3jp2lZ99we5TbI","22","Mathame","spotify:artist:6QSwQEz8CDMg8Rqk8dEkxS","Nothing Around Us","3S8eBDaNXOgauG0Rtco6Kj","spotify:album:3S8eBDaNXOgauG0Rtco6Kj","378052","6,3","3295288","NONE","True","https://p.scdn.co/mp3-preview/8d62bf99090e2f8ba6f1fad4f9d208eec594d3ef","https://i.scdn.co/image/ab67616d0000b27343f8c50373afaaa7cdcdce96","spotify:track:1JodrnwZ3jp2lZ99we5TbI","https://open.spotify.com/track/1JodrnwZ3jp2lZ99we5TbI"
"3","00UcM1MkE18GfBns9vkxRm","Departure - Tale Of Us Intro Edit","Mathame; Tale Of Us","spotify:artist:6QSwQEz8CDMg8Rqk8dEkxS; spotify:artist:1UL813H5aj3e8ekE5RqWqc","Skywalking","0UbrZBSsBlWSNiUW9bRw5o","spotify:album:0UbrZBSsBlWSNiUW9bRw5o","394986","6,58","3061493","NONE","True","https://p.scdn.co/mp3-preview/640ca7489f889f7cdb4be9a407ef1b1d8bd33e7b","https://i.scdn.co/image/ab67616d0000b273003aa5839fd002d5ec494b75","spotify:track:00UcM1MkE18GfBns9vkxRm","https://open.spotify.com/track/00UcM1MkE18GfBns9vkxRm"
"4","2Ksd5WwJY9EAqkWT6UibBi","Never Give Up","Mathame","spotify:artist:6QSwQEz8CDMg8Rqk8dEkxS","Never Give Up","1QcQGdN41jc2NmmOVTvzfR","spotify:album:1QcQGdN41jc2NmmOVTvzfR","180114","3","4882846","NONE","True","https://p.scdn.co/mp3-preview/e37810990319d710f49b6f1210c718aa670565b6","https://i.scdn.co/image/ab67616d0000b273c8e730cefe3633ccd2bc756f","spotify:track:2Ksd5WwJY9EAqkWT6UibBi","https://open.spotify.com/track/2Ksd5WwJY9EAqkWT6UibBi"
"5","6F0I4oOWygQTGLt22CKImo","Lifetime","Mathame","spotify:artist:6QSwQEz8CDMg8Rqk8dEkxS","fabric 97: Tale of Us","2EfLRLrle7nSvj4Aq8GmFJ","spotify:album:2EfLRLrle7nSvj4Aq8GmFJ","495483","8,26","104911","NONE","True","https://p.scdn.co/mp3-preview/675affe87a9230ef4cce3d35ade06d8d1025bbd8","https://i.scdn.co/image/ab67616d0000b273780e9b677b51ea906d0f2b92","spotify:track:6F0I4oOWygQTGLt22CKImo","https://open.spotify.com/track/6F0I4oOWygQTGLt22CKImo"
"6","61Aj0F4ZUrQq6wZUufPqPU","Magia","Mathame; Franchino","spotify:artist:6QSwQEz8CDMg8Rqk8dEkxS; spotify:artist:5GkitXZMZ5pVYdZEXRfeR8","Unity","0HrDrQPhOBR04RKmY7DCJj","spotify:album:0HrDrQPhOBR04RKmY7DCJj","373569","6,23","4401650","NONE","True","https://p.scdn.co/mp3-preview/8c7f99f288face7a091ef113c2a416649b55f8b5","https://i.scdn.co/image/ab67616d0000b273e18f6613c8797619eaa07925","spotify:track:61Aj0F4ZUrQq6wZUufPqPU","https://open.spotify.com/track/61Aj0F4ZUrQq6wZUufPqPU"
"7","53ynuUWSqBomfgAsYxn2u9","Together","Tale Of Us","spotify:artist:1UL813H5aj3e8ekE5RqWqc","Unity","0HrDrQPhOBR04RKmY7DCJj","spotify:album:0HrDrQPhOBR04RKmY7DCJj","319122","5,32","1770253","NONE","True","https://p.scdn.co/mp3-preview/aff416c0dfcab331c559b121a7dee7e022319cba","https://i.scdn.co/image/ab67616d0000b273e18f6613c8797619eaa07925","spotify:track:53ynuUWSqBomfgAsYxn2u9","https://open.spotify.com/track/53ynuUWSqBomfgAsYxn2u9"
"8","46MXlaqZGsHI4yvhIFyOGJ","Discorso Della Montagna","Mathame","spotify:artist:6QSwQEz8CDMg8Rqk8dEkxS","Betsaida","7Dlu0nzPxARLqldmYc3oGv","spotify:album:7Dlu0nzPxARLqldmYc3oGv","482036","8,03","224327","NONE","True","https://p.scdn.co/mp3-preview/d333dd226a27e7a8914c0e127ded740972418702","https://i.scdn.co/image/ab67616d0000b273bd2a17745d901bffd1dc9cfe","spotify:track:46MXlaqZGsHI4yvhIFyOGJ","https://open.spotify.com/track/46MXlaqZGsHI4yvhIFyOGJ"
"9","0so587BGO1K3OU3fMqF25I","Skywalking","Mathame","spotify:artist:6QSwQEz8CDMg8Rqk8dEkxS","Skywalking","0UbrZBSsBlWSNiUW9bRw5o","spotify:album:0UbrZBSsBlWSNiUW9bRw5o","374721","6,25","25591637","NONE","True","https://p.scdn.co/mp3-preview/f55d35b82c81ed515f21ad2f3fb5361690e23ecd","https://i.scdn.co/image/ab67616d0000b273003aa5839fd002d5ec494b75","spotify:track:0so587BGO1K3OU3fMqF25I","https://open.spotify.com/track/0so587BGO1K3OU3fMqF25I"
"10","1hvEJcPcOCZz9k6FG3qpA7","Alkahest","Mathame","spotify:artist:6QSwQEz8CDMg8Rqk8dEkxS","Alkahest","37iNDT8MEOW4iUf50BBwtx","spotify:album:37iNDT8MEOW4iUf50BBwtx","441290","7,35","321820","NONE","True","https://p.scdn.co/mp3-preview/08ebbd87474c6d67bfc63c3483f6068beac2b8fa","https://i.scdn.co/image/ab67616d0000b273fb85af5f966cfe8df58fef47","spotify:track:1hvEJcPcOCZz9k6FG3qpA7","https://open.spotify.com/track/1hvEJcPcOCZz9k6FG3qpA7"
